ethnicity line,season,page number,book slot,page type,template id,template name,scene,seasonal detail,detail load,assignment basis,repeat variant,notes
Hispanic,Summer,14,Hispanic Summer 14,Environment page,TPL-09,Outdoor Sanctuary,Safe outdoor patio with lanterns and plants.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Summer,15,Hispanic Summer 15,Environment page,TPL-09,Outdoor Sanctuary,Community center courtyard scene.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people","Use 2 of TPL-09 in this book — change the built anchor: bench vs table vs planter bed, and the enclosure edge.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,01,Hispanic Fall 01,Solo portrait,TPL-08,Window + Journal Reflection,Woman in shawl journaling beside a window.,"leaves, tea, blankets, candles, gratitude, release",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,02,Hispanic Fall 02,Solo portrait,TPL-06,Walking Reflection Scene,Man with coffee walking under autumn trees.,"leaves, tea, blankets, candles, gratitude, release",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,03,Hispanic Fall 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult reading affirmations in a cozy chair.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,04,Hispanic Fall 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman making tea in a peaceful kitchen.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,05,Hispanic Fall 05,Community scene,TPL-02,Support Circle Scene,Indoor recovery group with warm seasonal décor.,"leaves, tea, blankets, candles, gratitude, release",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,06,Hispanic Fall 06,Community scene,TPL-02,Support Circle Scene,Family preparing a comforting meal together.,"leaves, tea, blankets, candles, gratitude, release",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,07,Hispanic Fall 07,Community scene,TPL-07,Pair Conversation Scene,Sisters talking honestly at a table.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,08,Hispanic Fall 08,Community scene,TPL-07,Pair Conversation Scene,Mentor check-in after a class or meeting.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,09,Hispanic Fall 09,Quote page,TPL-03,Quote Page Framed Border,Warm cup and autumn textures.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,10,Hispanic Fall 10,Quote page,TPL-03,Quote Page Framed Border,Leaves and reflective border.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,11,Hispanic Fall 11,Quote page,TPL-03,Quote Page Framed Border,Window light and soft linework.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,12,Hispanic Fall 12,Symbol page,TPL-05,Symbol Cluster Page,"Leaves, mugs, candles, and flowers.","leaves, tea, blankets, candles, gratitude, release",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,13,Hispanic Fall 13,Decorative page,TPL-10,Decorative Border & Pattern Page,Woven textures and fall patterns.,"leaves, tea, blankets, candles, gratitude, release",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,14,Hispanic Fall 14,Environment page,TPL-04,Healing Room Interior,Reading corner with blankets and houseplants.,"leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Fall,15,Hispanic Fall 15,Environment page,TPL-04,Healing Room Interior,Warm dining room sanctuary scene.,"leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,01,Hispanic Winter 01,Solo portrait,TPL-08,Window + Journal Reflection,Woman with candle and journal by a window.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,02,Hispanic Winter 02,Solo portrait,TPL-06,Walking Reflection Scene,Man bundled up on a peaceful morning walk.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,03,Hispanic Winter 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult coloring near a lamp and blanket.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,04,Hispanic Winter 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Woman reflecting with cocoa and soft music.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,05,Hispanic Winter 05,Community scene,TPL-02,Support Circle Scene,Indoor support gathering with welcoming chairs.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,06,Hispanic Winter 06,Community scene,TPL-07,Pair Conversation Scene,Parent and adult child sharing healing conversation.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,07,Hispanic Winter 07,Community scene,TPL-07,Pair Conversation Scene,Friends checking on one another during winter.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,08,Hispanic Winter 08,Community scene,TPL-02,Support Circle Scene,Family game night centered on safe connection.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,09,Hispanic Winter 09,Quote page,TPL-03,Quote Page Framed Border,Winter light and soft stars.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,10,Hispanic Winter 10,Quote page,TPL-03,Quote Page Framed Border,Candle and cozy texture.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,11,Hispanic Winter 11,Quote page,TPL-03,Quote Page Framed Border,Snow and light motif.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,12,Hispanic Winter 12,Symbol page,TPL-05,Symbol Cluster Page,"Stars, candles, mittens, and hearts.","snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,13,Hispanic Winter 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Quilts, mugs, lanterns, and winter shapes.","snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,14,Hispanic Winter 14,Environment page,TPL-04,Healing Room Interior,Cozy bedroom retreat with layered blankets.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Hispanic,Winter,15,Hispanic Winter 15,Environment page,TPL-04,Healing Room Interior,Quiet living room with books and warm drinks.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,01,Multiracial Spring 01,Solo portrait,TPL-01,Solo Portrait Calm Scene,Multiracial woman journaling near blooming plants.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,02,Multiracial Spring 02,Solo portrait,TPL-06,Walking Reflection Scene,Multiracial man walking at sunrise in a city park.,"flowers, rain, fresh air, journals, new beginnings",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,03,Multiracial Spring 03,Solo portrait,TPL-08,Window + Journal Reflection,Young adult doing breathwork by an open window.,"flowers, rain, fresh air, journals, new beginnings",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,04,Multiracial Spring 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Person wrapped in blanket practicing self-kindness.,"flowers, rain, fresh air, journals, new beginnings",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,05,Multiracial Spring 05,Community scene,TPL-02,Support Circle Scene,Diverse support circle in community setting.,"flowers, rain, fresh air, journals, new beginnings",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,06,Multiracial Spring 06,Community scene,TPL-02,Support Circle Scene,Blended family planting flowers together.,"flowers, rain, fresh air, journals, new beginnings",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,07,Multiracial Spring 07,Community scene,TPL-07,Pair Conversation Scene,Two friends of different backgrounds sharing encouragement.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,08,Multiracial Spring 08,Community scene,TPL-07,Pair Conversation Scene,Mentor and participant leaving a healing workshop.,"flowers, rain, fresh air, journals, new beginnings",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,09,Multiracial Spring 09,Quote page,TPL-03,Quote Page Framed Border,Butterflies and floral border.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,10,Multiracial Spring 10,Quote page,TPL-03,Quote Page Framed Border,Hands and garden accents.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,11,Multiracial Spring 11,Quote page,TPL-03,Quote Page Framed Border,Soft sky and open space.,"flowers, rain, fresh air, journals, new beginnings",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,12,Multiracial Spring 12,Symbol page,TPL-05,Symbol Cluster Page,"Butterflies, hands, hearts, and flowers.","flowers, rain, fresh air, journals, new beginnings",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,13,Multiracial Spring 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Journals, rain boots, and spring border.","flowers, rain, fresh air, journals, new beginnings",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,14,Multiracial Spring 14,Environment page,TPL-04,Healing Room Interior,Apartment sanctuary with plants and soft textures.,"flowers, rain, fresh air, journals, new beginnings",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Spring,15,Multiracial Spring 15,Environment page,TPL-04,Healing Room Interior,"Wellness room with chairs, art, and calm details.","flowers, rain, fresh air, journals, new beginnings",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,01,Multiracial Summer 01,Solo portrait,TPL-01,Solo Portrait Calm Scene,Person meditating under a tree.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,02,Multiracial Summer 02,Solo portrait,TPL-06,Walking Reflection Scene,Person by water reflecting in sunlight.,"sunlight, porches, gardens, walking paths, community warmth",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,03,Multiracial Summer 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult stretching on rooftop or lawn.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,04,Multiracial Summer 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Person sipping lemonade on a stoop or balcony.,"sunlight, porches, gardens, walking paths, community warmth",Medium,"single focal figure with props, no window and no path","Use 3 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,05,Multiracial Summer 05,Community scene,TPL-02,Support Circle Scene,Diverse outdoor support group.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,06,Multiracial Summer 06,Community scene,TPL-02,Support Circle Scene,Blended family picnic scene.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,07,Multiracial Summer 07,Community scene,TPL-07,Pair Conversation Scene,Friends walking together after group.,"sunlight, porches, gardens, walking paths, community warmth",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,08,Multiracial Summer 08,Community scene,TPL-07,Pair Conversation Scene,Peer-support conversation on a city bench.,"sunlight, porches, gardens, walking paths, community warmth",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,09,Multiracial Summer 09,Quote page,TPL-03,Quote Page Framed Border,Freedom and peace motif.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,10,Multiracial Summer 10,Quote page,TPL-03,Quote Page Framed Border,Sun and bright accents.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,11,Multiracial Summer 11,Quote page,TPL-03,Quote Page Framed Border,Open sky and bold text space.,"sunlight, porches, gardens, walking paths, community warmth",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,12,Multiracial Summer 12,Symbol page,TPL-05,Symbol Cluster Page,"Suns, flowers, waves, and hearts.","sunlight, porches, gardens, walking paths, community warmth",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,13,Multiracial Summer 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Sandals, fruit, and notebooks.","sunlight, porches, gardens, walking paths, community warmth",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,14,Multiracial Summer 14,Environment page,TPL-09,Outdoor Sanctuary,Backyard or balcony healing corner.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Summer,15,Multiracial Summer 15,Environment page,TPL-09,Outdoor Sanctuary,Urban garden community scene.,"sunlight, porches, gardens, walking paths, community warmth",Heavy,"outdoor retreat space, no people","Use 2 of TPL-09 in this book — change the built anchor: bench vs table vs planter bed, and the enclosure edge.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,01,Multiracial Fall 01,Solo portrait,TPL-08,Window + Journal Reflection,Person journaling with leaves outside window.,"leaves, tea, blankets, candles, gratitude, release",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,02,Multiracial Fall 02,Solo portrait,TPL-06,Walking Reflection Scene,Person holding tea during a reflective walk.,"leaves, tea, blankets, candles, gratitude, release",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,03,Multiracial Fall 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult curled in chair with calming book.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,04,Multiracial Fall 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Person doing evening reflection by candlelight.,"leaves, tea, blankets, candles, gratitude, release",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,05,Multiracial Fall 05,Community scene,TPL-02,Support Circle Scene,Support group in warm-toned room.,"leaves, tea, blankets, candles, gratitude, release",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,06,Multiracial Fall 06,Community scene,TPL-02,Support Circle Scene,Blended family cooking together peacefully.,"leaves, tea, blankets, candles, gratitude, release",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,07,Multiracial Fall 07,Community scene,TPL-07,Pair Conversation Scene,Close friends sharing gratitude notes.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,08,Multiracial Fall 08,Community scene,TPL-07,Pair Conversation Scene,Therapist-like or peer-support check-in scene.,"leaves, tea, blankets, candles, gratitude, release",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,09,Multiracial Fall 09,Quote page,TPL-03,Quote Page Framed Border,Release and growth motif.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,10,Multiracial Fall 10,Quote page,TPL-03,Quote Page Framed Border,Soft blanket and tea accents.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,11,Multiracial Fall 11,Quote page,TPL-03,Quote Page Framed Border,Change and worth theme.,"leaves, tea, blankets, candles, gratitude, release",Light,affirmation text with seasonal border,Use 3 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,12,Multiracial Fall 12,Symbol page,TPL-05,Symbol Cluster Page,"Leaves, candles, journals, and hearts.","leaves, tea, blankets, candles, gratitude, release",Medium,"motif cluster, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,13,Multiracial Fall 13,Decorative page,TPL-10,Decorative Border & Pattern Page,"Sweaters, mugs, and harvest details.","leaves, tea, blankets, candles, gratitude, release",Medium,"border and pattern composition, no scene",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,14,Multiracial Fall 14,Environment page,TPL-04,Healing Room Interior,Window seat sanctuary with blanket and plants.,"leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Fall,15,Multiracial Fall 15,Environment page,TPL-04,Healing Room Interior,Peaceful kitchen or dining table scene.,"leaves, tea, blankets, candles, gratitude, release",Heavy,"interior room, no people","Use 2 of TPL-04 in this book — change the room and anchor furniture: bed vs armchair vs table, and move the light source.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,01,Multiracial Winter 01,Solo portrait,TPL-08,Window + Journal Reflection,Person journaling with snow outside.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,indoor figure with a window or outside view,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,02,Multiracial Winter 02,Solo portrait,TPL-06,Walking Reflection Scene,Person walking in quiet winter light.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light-Medium,"outdoor figure on a path, trail, or shoreline",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,03,Multiracial Winter 03,Solo portrait,TPL-01,Solo Portrait Calm Scene,Young adult coloring under a blanket.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path",,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,04,Multiracial Winter 04,Solo portrait,TPL-01,Solo Portrait Calm Scene,Person holding warm drink in soft lamplight.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,"single focal figure with props, no window and no path","Use 2 of TPL-01 in this book — change the viewpoint and prop cluster: seated vs standing, three-quarter vs frontal, and a different anchor object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,05,Multiracial Winter 05,Community scene,TPL-02,Support Circle Scene,Diverse indoor support circle.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,group of four or more around a shared focal interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,06,Multiracial Winter 06,Community scene,TPL-02,Support Circle Scene,Blended family exchanging kind notes.,"snow, quilts, lamps, cocoa, candles, indoor calm",Heavy,group of four or more around a shared focal interaction,"Use 2 of TPL-02 in this book — change the seating geometry and eye level: open horseshoe vs closed ring, standing vs seated, and a different room or landscape anchor.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,07,Multiracial Winter 07,Community scene,TPL-07,Pair Conversation Scene,Couple or friends watching snowfall in peace.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,08,Multiracial Winter 08,Community scene,TPL-07,Pair Conversation Scene,Check-in call or visit scene with emotional support.,"snow, quilts, lamps, cocoa, candles, indoor calm",Medium,two to three figures in close interaction,"Use 2 of TPL-07 in this book — change the arrangement: side by side vs facing, seated vs walking, and a different shared object.",Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,09,Multiracial Winter 09,Quote page,TPL-03,Quote Page Framed Border,Warmth and light motif.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
Multiracial,Winter,10,Multiracial Winter 10,Quote page,TPL-03,Quote Page Framed Border,Quiet strength border.,"snow, quilts, lamps, cocoa, candles, indoor calm",Light,affirmation text with seasonal border,Use 2 of TPL-03 in this book — change the border family and quote placement: full frame vs two-corner vs top-and-bottom band.,Template selected from page type and scene content. Use the detail load column to avoid placing two Heavy pages back to back.
