ethnicity line,season,page number,template id,template name,seasonal detail,book slot,notes
Hispanic,Summer,13.0,TPL-05,Symbol cluster page,summer symbol cluster,Hispanic Summer 13,"Page-specific direction: A picnic blanket, woven basket, fruit, reusable water bottle, sunglasses, journal, and simple summer border arranged as a clean still life; keep every object recognizable and separated. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Summer,14.0,TPL-03,Quote page framed border,quote with radiant framing,Hispanic Summer 14,"Page-specific direction: A shaded patio sanctuary with a comfortable chair, small table, lantern, potted herbs, folded throw, and open view toward a garden; the composition should feel like a private place to reset. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Summer,15.0,TPL-08,Window + journal reflection,balcony or patio quiet time,Hispanic Summer 15,"Page-specific direction: A community-center courtyard with benches, planters, a simple fountain or water feature, shade trees, and two people greeting one another in the distance; spacious geometry keeps the page easy to color. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,1.0,TPL-01,Solo portrait calm scene,"leaves, sweater, calm",Hispanic Fall 01,"Page-specific direction: A woman sits beside a window in a textured shawl, journal open and pen resting in her hand; turning leaves outside create a gentle frame while her expression shows thoughtful acceptance rather than sadness. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,2.0,TPL-06,Walking reflection scene,"autumn walk, coffee, path",Hispanic Fall 02,"Page-specific direction: A man walks beneath mature autumn trees holding a warm coffee mug, looking ahead with an easy half-smile; a winding path and scattered leaves suggest steady progress. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,3.0,TPL-08,Window + journal reflection,window with plaid blanket,Hispanic Fall 03,"Page-specific direction: A young adult sits curled comfortably in a chair reading a page of affirmations, with a folded blanket, small lamp, and book stack nearby; the posture communicates safety and self-acceptance. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,4.0,TPL-02,Support circle scene,warm indoor support group,Hispanic Fall 04,"Page-specific direction: A woman prepares tea in a tidy kitchen, pausing with both hands around the mug before taking a breath; warm window light, a kettle, herbs, and a simple dish towel make the ritual feel personal. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,5.0,TPL-03,Quote page framed border,affirmation quote with leaves,Hispanic Fall 05,"Page-specific direction: Four adults sit in a warm recovery group room with chairs in a circle, a simple seasonal centerpiece, notebooks, and mugs; one speaker shares while others listen with respectful, relaxed attention. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,6.0,TPL-07,Porch or patio conversation,porch talk with mugs and blankets,Hispanic Fall 06,"Page-specific direction: Family members prepare a comforting meal together, with one adult chopping vegetables, another stirring a pot, and another setting the table; the scene emphasizes cooperation and belonging. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,7.0,TPL-04,Healing room interior,reading nook with lamp,Hispanic Fall 07,"Page-specific direction: Two sisters sit across from each other at a dining table with mugs between them, making eye contact during an honest conversation; a folded blanket and autumn centerpiece create warmth without clutter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,8.0,TPL-05,Symbol cluster page,"leaves, candles, journals",Hispanic Fall 08,"Page-specific direction: A mentor checks in with an adult participant after a class, standing beside a doorway with a notebook in hand; their relaxed posture and eye-level conversation communicate support, accountability, and dignity. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,9.0,TPL-03,Quote page framed border,short quote with harvest border,Hispanic Fall 09,"Page-specific direction: A short affirmation sits beside a simple steaming mug and a border of scattered leaves; use curved leaf stems and generous margins to communicate permission to pause. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,10.0,TPL-01,Solo portrait calm scene,reflection by window and rain,Hispanic Fall 10,"Page-specific direction: A central text area is framed by leaves drifting downward and a few open branches, visually suggesting release without depicting loss or sadness. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,11.0,TPL-02,Support circle scene,small group support,Hispanic Fall 11,"Page-specific direction: Soft window light becomes a clean geometric frame around the affirmation, with a few leaves outside the window and an open curtain suggesting that light remains available. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,12.0,TPL-04,Healing room interior,cozy room with books,Hispanic Fall 12,"Page-specific direction: Autumn motif collection: layered leaves, steaming mug, candle, acorn, open book, small flower, heart, and journal; arrange in intentional clusters with plenty of separation. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,13.0,TPL-05,Symbol cluster page,fall symbol cluster,Hispanic Fall 13,"Page-specific direction: Woven textile pattern, ceramic mug, journal, candle, small pumpkin-like harvest forms, and falling leaves arranged as a sophisticated flat-lay; avoid making the page overly seasonal or holiday-specific. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,14.0,TPL-03,Quote page framed border,quote with gratitude framing,Hispanic Fall 14,"Page-specific direction: A window-seat reading corner with a layered blanket, pillow, books, plant, mug, and leaf-filled view outside; furniture lines are clean and the floor and wall remain open for coloring. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Fall,15.0,TPL-08,Window + journal reflection,quiet window and tea,Hispanic Fall 15,"Page-specific direction: A warm dining-room sanctuary with a simple table, two chairs, bowl of seasonal fruit, candle, textile runner, and evening window light; the room should feel safe, orderly, and restorative. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,1.0,TPL-01,Solo portrait calm scene,"snow, cocoa, softness",Hispanic Winter 01,"Page-specific direction: A woman sits beside a winter window with a journal in one hand and a small candle on the table; a quilt rests over her legs and her face is calm, conveying hope during a quiet season. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,2.0,TPL-06,Walking reflection scene,"quiet walk, coat, path",Hispanic Winter 02,"Page-specific direction: A man takes a peaceful winter morning walk in a warm coat and knit hat, hands comfortably tucked into pockets; bare trees and a lightly snow-covered path create depth without crowding. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,3.0,TPL-08,Window + journal reflection,window with lamp and journal,Hispanic Winter 03,"Page-specific direction: A young adult colors at a small table beneath a floor lamp, wrapped in a blanket with pencils arranged neatly nearby; snow is visible through the window and the mood is focused and content. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,4.0,TPL-02,Support circle scene,warm support circle indoors,Hispanic Winter 04,"Page-specific direction: A woman sits in a comfortable chair holding cocoa while soft music plays from a small speaker; a book, candle, and winter plant sit nearby and her posture communicates permission to rest. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,5.0,TPL-03,Quote page framed border,affirmation quote with candles,Hispanic Winter 05,"Page-specific direction: Four adults gather indoors in a welcoming support circle, chairs spaced comfortably apart with warm lamps, mugs, and simple winter textiles; everyone is attentive and emotionally grounded. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,6.0,TPL-07,Porch or patio conversation,patio replaced by indoor conversation,Hispanic Winter 06,"Page-specific direction: A parent and adult child sit together at a kitchen table sharing a healing conversation, hands resting naturally near warm drinks; winter light through the window and a simple meal create a feeling of reconnection. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,7.0,TPL-04,Healing room interior,bedroom or living room retreat,Hispanic Winter 07,"Page-specific direction: Three friends check in with one another in a cozy living room, seated near a lamp and blanket basket; their expressions are warm and attentive, emphasizing mutual care rather than crisis. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,8.0,TPL-05,Symbol cluster page,"candles, stars, mittens",Hispanic Winter 08,"Page-specific direction: A family enjoys a simple board-game night around a dining table, with mugs, snacks, cards, and laughter; the scene communicates safe connection and ordinary joy. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,9.0,TPL-03,Quote page framed border,short quote with winter border,Hispanic Winter 09,"Page-specific direction: A short affirmation sits within a frame of stars, small candle flames, winter branches, and soft geometric snow shapes; keep the center open and readable. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,10.0,TPL-01,Solo portrait calm scene,reflection by snowy window,Hispanic Winter 10,"Page-specific direction: A central affirmation is framed by one candle, a small sprig of evergreen, and flowing quilt-inspired border shapes; the composition should communicate tenderness and worth. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,11.0,TPL-02,Support circle scene,small group support,Hispanic Winter 11,"Page-specific direction: A quiet snow scene fills the outer frame while a broad blank center holds a short affirmation; use snowflakes of different sizes but keep them widely spaced. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,12.0,TPL-04,Healing room interior,cozy room with blankets,Hispanic Winter 12,"Page-specific direction: Winter motif collection: stars, candle, mitten, heart, evergreen sprig, warm mug, quilt block, snowflake, and open book; balanced clusters with strong white space. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,13.0,TPL-05,Symbol cluster page,winter symbol cluster,Hispanic Winter 13,"Page-specific direction: Quilt-inspired geometric blocks, mug, lantern, folded blanket, journal, book, and simple snowflake accents arranged in a clean decorative composition without holiday clutter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,14.0,TPL-03,Quote page framed border,quote with hope framing,Hispanic Winter 14,"Page-specific direction: A cozy bedroom retreat with layered quilt, bedside lamp, journal, book, slippers, plant, and snowy window; use clear furniture silhouettes and broad colorable surfaces. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Hispanic,Winter,15.0,TPL-08,Window + journal reflection,quiet window and warm drink,Hispanic Winter 15,"Page-specific direction: A quiet living room with bookshelves, comfortable chair, warm drink, folded quilt, floor lamp, and snowy window view; the room feels peaceful, lived in, and emotionally safe. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,1.0,TPL-01,Solo portrait calm scene,"flowers, rain, new growth",Multiracial Spring 01,"Page-specific direction: A woman sits at a rain-streaked window with a journal open across her knees; flowering plants frame the sill and her shoulders are relaxed as she writes one honest sentence about what she wants next. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,2.0,TPL-06,Walking reflection scene,"fresh air, walking path, sunrise",Multiracial Spring 02,"Page-specific direction: A man walks slowly through a neighborhood park just after sunrise, hands loose at his sides, looking toward a path bordered by fresh grass and small spring flowers; the scene communicates choosing forward movement without hurry. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,3.0,TPL-08,Window + journal reflection,"open curtains, plants, journal",Multiracial Spring 03,"Page-specific direction: A young adult with a textured natural hairstyle sits cross-legged on a floor cushion beside an open window, eyes gently closed during a breathing exercise; a small plant, folded blanket, and journal create a peaceful grounding corner. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,4.0,TPL-02,Support circle scene,support group in bright room,Multiracial Spring 04,"Page-specific direction: A woman wrapped in a light blanket cradles a warm mug while reading a small stack of affirmation cards; rain-softened daylight enters behind her and her expression is relieved rather than sad. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,5.0,TPL-03,Quote page framed border,affirmation quote with blossoms,Multiracial Spring 05,"Page-specific direction: Four adults sit in a loose recovery circle in a bright community room, one person speaking while the others listen with open posture; notebooks and water cups sit on simple chairs and a few spring branches decorate the room. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,6.0,TPL-07,Porch or patio conversation,porch conversation with tea and light,Multiracial Spring 06,"Page-specific direction: An adult daughter and her mother kneel together in a garden, planting young flowers into fresh soil; their hands are visibly engaged in the work and their shared smile makes the scene about rebuilding connection. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,7.0,TPL-04,Healing room interior,bedroom sanctuary with plants,Multiracial Spring 07,"Page-specific direction: Two close friends sit on a porch with tea and journals between them, leaning toward each other in an honest conversation; potted flowers, a simple railing, and light spring breeze create a safe everyday setting. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,8.0,TPL-05,Symbol cluster page,"butterflies, buds, doves",Multiracial Spring 08,"Page-specific direction: A peer mentor and newcomer stand outside a community meeting space after a session, talking at eye level with relaxed shoulders; a tote bag, notebook, and budding tree suggest the beginning of a new chapter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,9.0,TPL-03,Quote page framed border,short quote with spring border,Multiracial Spring 09,"Page-specific direction: Centered affirmation area surrounded by an airy border of open blossoms, tiny leaves, rain droplets, and two butterflies; keep the center mostly blank and calm so the quote remains the visual anchor. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,10.0,TPL-01,Solo portrait calm scene,reflection by a rainy window,Multiracial Spring 10,"Page-specific direction: A large open butterfly emerging from a simple flower garden forms the frame around a short affirmation; use varied blossom shapes and generous white space instead of dense decoration. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,11.0,TPL-02,Support circle scene,small group encouragement,Multiracial Spring 11,"Page-specific direction: Soft rain lines fall behind a clean central text area while small blossoms and new leaves rise from the lower corners; the composition should feel peaceful and forward-looking, not gloomy. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,12.0,TPL-04,Healing room interior,reading nook and calm light,Multiracial Spring 12,"Page-specific direction: Balanced spring motif collection: unfurling leaves, open flowers, hummingbirds, butterflies, a small heart, rain droplets, and a sunrise; group related motifs with clear gaps for comfortable coloring. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,13.0,TPL-05,Symbol cluster page,flower cluster and recovery symbols,Multiracial Spring 13,"Page-specific direction: An open journal, gardening gloves, seed packets, small ceramic planter, rain boots, and a simple floral border arranged as a balanced flat-lay composition with no overlapping clutter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,14.0,TPL-03,Quote page framed border,quote with renewal framing,Multiracial Spring 14,"Page-specific direction: A peaceful bedroom reading nook with a woven throw, open journal, potted plant, slippers, and a rain-view window; furniture silhouettes stay simple while small comfort details make the room feel lived in. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Spring,15.0,TPL-08,Window + journal reflection,quiet window and fresh air,Multiracial Spring 15,"Page-specific direction: A welcoming courtyard sanctuary with two chairs, flowering pots, a small café-style table, patterned textile, and an open gate toward fresh greenery; the space should communicate permission to breathe and begin again. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,1.0,TPL-01,Solo portrait calm scene,"sunlight, porch, garden",Multiracial Summer 01,"Page-specific direction: A woman sits beneath a leafy shade tree with a sketchbook resting on her lap, one hand holding a pencil while sunlight breaks through the leaves; her posture is open and quietly joyful. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,2.0,TPL-06,Walking reflection scene,"morning walk, trees, light",Multiracial Summer 02,"Page-specific direction: A man walks along a calm riverside boardwalk in rolled sleeves and comfortable sneakers, pausing beside the railing to watch the water; distant trees and broad sky leave generous open coloring space. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,3.0,TPL-08,Window + journal reflection,"bright window, tea, notebook",Multiracial Summer 03,"Page-specific direction: A young adult stretches on a backyard patio at the start of the day, one foot grounded and arms reaching overhead; a yoga mat, potted herbs, and morning sunlight reinforce body awareness and confidence. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,4.0,TPL-02,Support circle scene,support circle outdoors or bright room,Multiracial Summer 04,"Page-specific direction: A woman relaxes on a shaded porch with a cool drink and a book, laughing softly at something she has just read; porch plants and a breeze-moving curtain make the moment feel spontaneous and alive. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,5.0,TPL-03,Quote page framed border,affirmation quote with sun accents,Multiracial Summer 05,"Page-specific direction: Four adults gather outdoors beneath a large shade tree for a peer-support conversation, chairs arranged in an open circle with notebooks and water bottles; everyone faces one another with attentive, encouraging body language. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,6.0,TPL-07,Porch or patio conversation,patio conversation with lemonade,Multiracial Summer 06,"Page-specific direction: A multigenerational family prepares a relaxed backyard meal together, with adults passing a bowl and arranging plates while children are present in the background; the emphasis is connection, cooperation, and laughter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,7.0,TPL-04,Healing room interior,living room with fan and plants,Multiracial Summer 07,"Page-specific direction: Three friends sit around a small patio table sharing tall glasses of aguas frescas and conversation; include varied hairstyles, casual summer clothing, potted herbs, and a warm but uncluttered social atmosphere. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,8.0,TPL-05,Symbol cluster page,"sunflowers, waves, hearts",Multiracial Summer 08,"Page-specific direction: An older adult offers calm encouragement to a younger adult on a park bench, one hand resting naturally on the bench rather than dramatically touching the other person; the younger person listens with growing confidence. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,9.0,TPL-03,Quote page framed border,short quote with warm border,Multiracial Summer 09,"Page-specific direction: A large sun motif opens behind a short affirmation, surrounded by simple rays, leaves, and tiny flowers; preserve a broad white center and let the page feel bright without becoming busy. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,10.0,TPL-01,Solo portrait calm scene,reflection by water or window,Multiracial Summer 10,"Page-specific direction: Bold upward-moving rays frame a short bilingual-friendly affirmation area, with a few open clouds and leaves at the edges; the visual message is forward motion and choice. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,11.0,TPL-02,Support circle scene,small group encouragement,Multiracial Summer 11,"Page-specific direction: An expansive sky occupies most of the page with a low horizon, gentle clouds, and a single flowering plant in one corner; leave the center clean for an affirmation about choosing calm. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,12.0,TPL-04,Healing room interior,rest corner with daylight,Multiracial Summer 12,"Page-specific direction: Summer motif collection: sun, open flowers, citrus slices, leaves, water ripples, heart, sunglasses, and a small journal; arrange them in balanced clusters with large open coloring areas. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,13.0,TPL-05,Symbol cluster page,summer symbol cluster,Multiracial Summer 13,"Page-specific direction: A picnic blanket, woven basket, fruit, reusable water bottle, sunglasses, journal, and simple summer border arranged as a clean still life; keep every object recognizable and separated. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,14.0,TPL-03,Quote page framed border,quote with radiant framing,Multiracial Summer 14,"Page-specific direction: A shaded patio sanctuary with a comfortable chair, small table, lantern, potted herbs, folded throw, and open view toward a garden; the composition should feel like a private place to reset. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Summer,15.0,TPL-08,Window + journal reflection,balcony or patio quiet time,Multiracial Summer 15,"Page-specific direction: A community-center courtyard with benches, planters, a simple fountain or water feature, shade trees, and two people greeting one another in the distance; spacious geometry keeps the page easy to color. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,1.0,TPL-01,Solo portrait calm scene,"leaves, sweater, calm",Multiracial Fall 01,"Page-specific direction: A woman sits beside a window in a textured shawl, journal open and pen resting in her hand; turning leaves outside create a gentle frame while her expression shows thoughtful acceptance rather than sadness. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,2.0,TPL-06,Walking reflection scene,"autumn walk, coffee, path",Multiracial Fall 02,"Page-specific direction: A man walks beneath mature autumn trees holding a warm coffee mug, looking ahead with an easy half-smile; a winding path and scattered leaves suggest steady progress. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,3.0,TPL-08,Window + journal reflection,window with plaid blanket,Multiracial Fall 03,"Page-specific direction: A young adult sits curled comfortably in a chair reading a page of affirmations, with a folded blanket, small lamp, and book stack nearby; the posture communicates safety and self-acceptance. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,4.0,TPL-02,Support circle scene,warm indoor support group,Multiracial Fall 04,"Page-specific direction: A woman prepares tea in a tidy kitchen, pausing with both hands around the mug before taking a breath; warm window light, a kettle, herbs, and a simple dish towel make the ritual feel personal. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,5.0,TPL-03,Quote page framed border,affirmation quote with leaves,Multiracial Fall 05,"Page-specific direction: Four adults sit in a warm recovery group room with chairs in a circle, a simple seasonal centerpiece, notebooks, and mugs; one speaker shares while others listen with respectful, relaxed attention. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,6.0,TPL-07,Porch or patio conversation,porch talk with mugs and blankets,Multiracial Fall 06,"Page-specific direction: Family members prepare a comforting meal together, with one adult chopping vegetables, another stirring a pot, and another setting the table; the scene emphasizes cooperation and belonging. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,7.0,TPL-04,Healing room interior,reading nook with lamp,Multiracial Fall 07,"Page-specific direction: Two sisters sit across from each other at a dining table with mugs between them, making eye contact during an honest conversation; a folded blanket and autumn centerpiece create warmth without clutter. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,8.0,TPL-05,Symbol cluster page,"leaves, candles, journals",Multiracial Fall 08,"Page-specific direction: A mentor checks in with an adult participant after a class, standing beside a doorway with a notebook in hand; their relaxed posture and eye-level conversation communicate support, accountability, and dignity. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,9.0,TPL-03,Quote page framed border,short quote with harvest border,Multiracial Fall 09,"Page-specific direction: A short affirmation sits beside a simple steaming mug and a border of scattered leaves; use curved leaf stems and generous margins to communicate permission to pause. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,10.0,TPL-01,Solo portrait calm scene,reflection by window and rain,Multiracial Fall 10,"Page-specific direction: A central text area is framed by leaves drifting downward and a few open branches, visually suggesting release without depicting loss or sadness. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,11.0,TPL-02,Support circle scene,small group support,Multiracial Fall 11,"Page-specific direction: Soft window light becomes a clean geometric frame around the affirmation, with a few leaves outside the window and an open curtain suggesting that light remains available. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,12.0,TPL-04,Healing room interior,cozy room with books,Multiracial Fall 12,"Page-specific direction: Autumn motif collection: layered leaves, steaming mug, candle, acorn, open book, small flower, heart, and journal; arrange in intentional clusters with plenty of separation. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,13.0,TPL-05,Symbol cluster page,fall symbol cluster,Multiracial Fall 13,"Page-specific direction: Woven textile pattern, ceramic mug, journal, candle, small pumpkin-like harvest forms, and falling leaves arranged as a sophisticated flat-lay; avoid making the page overly seasonal or holiday-specific. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,14.0,TPL-03,Quote page framed border,quote with gratitude framing,Multiracial Fall 14,"Page-specific direction: A window-seat reading corner with a layered blanket, pillow, books, plant, mug, and leaf-filled view outside; furniture lines are clean and the floor and wall remain open for coloring. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Fall,15.0,TPL-08,Window + journal reflection,quiet window and tea,Multiracial Fall 15,"Page-specific direction: A warm dining-room sanctuary with a simple table, two chairs, bowl of seasonal fruit, candle, textile runner, and evening window light; the room should feel safe, orderly, and restorative. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,1.0,TPL-01,Solo portrait calm scene,"snow, cocoa, softness",Multiracial Winter 01,"Page-specific direction: A woman sits beside a winter window with a journal in one hand and a small candle on the table; a quilt rests over her legs and her face is calm, conveying hope during a quiet season. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,2.0,TPL-06,Walking reflection scene,"quiet walk, coat, path",Multiracial Winter 02,"Page-specific direction: A man takes a peaceful winter morning walk in a warm coat and knit hat, hands comfortably tucked into pockets; bare trees and a lightly snow-covered path create depth without crowding. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,3.0,TPL-08,Window + journal reflection,window with lamp and journal,Multiracial Winter 03,"Page-specific direction: A young adult colors at a small table beneath a floor lamp, wrapped in a blanket with pencils arranged neatly nearby; snow is visible through the window and the mood is focused and content. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,4.0,TPL-02,Support circle scene,warm support circle indoors,Multiracial Winter 04,"Page-specific direction: A woman sits in a comfortable chair holding cocoa while soft music plays from a small speaker; a book, candle, and winter plant sit nearby and her posture communicates permission to rest. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,5.0,TPL-03,Quote page framed border,affirmation quote with candles,Multiracial Winter 05,"Page-specific direction: Four adults gather indoors in a welcoming support circle, chairs spaced comfortably apart with warm lamps, mugs, and simple winter textiles; everyone is attentive and emotionally grounded. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,6.0,TPL-07,Porch or patio conversation,patio replaced by indoor conversation,Multiracial Winter 06,"Page-specific direction: A parent and adult child sit together at a kitchen table sharing a healing conversation, hands resting naturally near warm drinks; winter light through the window and a simple meal create a feeling of reconnection. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,7.0,TPL-04,Healing room interior,bedroom or living room retreat,Multiracial Winter 07,"Page-specific direction: Three friends check in with one another in a cozy living room, seated near a lamp and blanket basket; their expressions are warm and attentive, emphasizing mutual care rather than crisis. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
Multiracial,Winter,8.0,TPL-05,Symbol cluster page,"candles, stars, mittens",Multiracial Winter 08,"Page-specific direction: A family enjoys a simple board-game night around a dining table, with mugs, snacks, cards, and laughter; the scene communicates safe connection and ordinary joy. Do not substitute a generic version of this template. Preserve the assigned action, relationship, setting, and seasonal cue."
